               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 105,            0.030617,            0.027776,          0.00098586,             0.63038,                0.72,             0.73453,             0.36946,            0.035751,             0.01477,          0.00034876,           0.0079408,           0.0079408,           0.0079408
                 106,             0.03053,            0.028036,           0.0010241,             0.70648,             0.68086,             0.70012,             0.37274,            0.037142,            0.014185,           0.0004657,            0.007921,            0.007921,            0.007921
                 107,            0.030598,            0.027081,           0.0010445,             0.81292,             0.69896,             0.78544,             0.41244,            0.034697,            0.013176,          0.00057621,           0.0079012,           0.0079012,           0.0079012
                 108,            0.030682,            0.027705,           0.0013884,             0.59887,             0.70918,             0.66144,             0.37114,            0.035564,            0.015165,          0.00081997,           0.0078814,           0.0078814,           0.0078814
                 109,            0.030402,            0.027353,           0.0013966,             0.61159,             0.73329,             0.69627,             0.35051,            0.037096,            0.014686,          0.00058365,           0.0078616,           0.0078616,           0.0078616
                 110,            0.030621,            0.027664,           0.0012769,             0.61547,             0.75481,             0.73867,             0.40645,             0.03646,            0.015179,          0.00050812,           0.0078418,           0.0078418,           0.0078418
                 111,            0.030554,            0.026526,           0.0011213,              0.6183,             0.75954,             0.72552,             0.39263,            0.039048,            0.015301,          0.00052099,            0.007822,            0.007822,            0.007822
                 112,            0.030219,            0.027261,           0.0010954,             0.74168,             0.78587,             0.75593,             0.40276,            0.038472,            0.015036,          0.00045419,           0.0078022,           0.0078022,           0.0078022
                 113,            0.030049,             0.02651,          0.00093498,             0.55441,             0.81369,             0.65877,             0.37775,            0.039017,            0.014572,          0.00045075,           0.0077824,           0.0077824,           0.0077824
                 114,            0.030249,            0.027683,            0.001002,             0.65035,             0.67801,              0.7104,             0.36595,            0.040102,            0.014358,           0.0003773,           0.0077626,           0.0077626,           0.0077626
                 115,            0.030096,            0.026729,           0.0011021,             0.61717,             0.77814,             0.73757,             0.42191,            0.037655,             0.01444,          0.00041921,           0.0077428,           0.0077428,           0.0077428
                 116,            0.030081,            0.026564,           0.0010214,              0.5701,             0.81994,             0.75992,              0.4153,            0.035609,            0.014554,          0.00037909,            0.007723,            0.007723,            0.007723
                 117,            0.030198,            0.027273,           0.0010304,             0.60374,             0.74304,             0.67344,             0.41691,            0.038897,            0.014479,          0.00069559,           0.0077032,           0.0077032,           0.0077032
                 118,            0.030042,            0.027183,          0.00077642,             0.64828,             0.76226,             0.75944,             0.41584,            0.038157,             0.01464,          0.00037494,           0.0076834,           0.0076834,           0.0076834
                 119,            0.030212,            0.026795,           0.0008759,             0.65617,             0.76453,             0.73929,              0.4273,             0.03574,            0.014898,          0.00048981,           0.0076636,           0.0076636,           0.0076636
                 120,            0.029766,            0.026595,           0.0013677,             0.77794,             0.73728,             0.79308,             0.44163,            0.036266,            0.013996,          0.00061569,           0.0076438,           0.0076438,           0.0076438
                 121,            0.029915,            0.026459,           0.0010163,             0.73171,             0.73692,              0.7648,              0.3801,            0.038612,            0.016258,          0.00059645,            0.007624,            0.007624,            0.007624
                 122,            0.030012,            0.026653,           0.0014522,             0.71519,             0.69903,             0.76268,             0.40875,            0.038537,            0.015187,           0.0010378,           0.0076042,           0.0076042,           0.0076042
                 123,            0.029531,             0.02667,           0.0010683,             0.66914,             0.77542,             0.74452,              0.4001,            0.038081,            0.014765,          0.00082937,           0.0075844,           0.0075844,           0.0075844
                 124,            0.029518,             0.02635,          0.00094703,             0.65023,             0.73398,              0.7503,             0.41694,            0.036227,            0.013848,          0.00053648,           0.0075646,           0.0075646,           0.0075646
                 125,            0.029586,            0.026243,           0.0011365,             0.65699,             0.80542,             0.77281,             0.38165,            0.036112,            0.014719,          0.00044682,           0.0075448,           0.0075448,           0.0075448
                 126,            0.029495,            0.026459,           0.0010063,             0.75186,             0.75778,             0.80171,             0.42471,             0.03806,            0.013819,          0.00067256,            0.007525,            0.007525,            0.007525
                 127,            0.029372,            0.026963,           0.0011297,             0.66632,             0.74263,              0.7122,             0.41381,            0.038224,            0.015532,           0.0011363,           0.0075052,           0.0075052,           0.0075052
                 128,            0.029389,            0.027132,           0.0010987,             0.65592,             0.75125,             0.73074,             0.37885,            0.040769,            0.014881,           0.0009814,           0.0074854,           0.0074854,           0.0074854
                 129,            0.029335,             0.02625,           0.0010519,              0.6353,             0.73835,             0.74223,              0.4294,            0.040019,            0.015067,           0.0010615,           0.0074656,           0.0074656,           0.0074656
                 130,            0.029587,            0.026225,          0.00099825,             0.69915,              0.7771,             0.76555,             0.44423,            0.039656,            0.015111,           0.0022761,           0.0074458,           0.0074458,           0.0074458
                 131,            0.030007,            0.025562,          0.00089616,             0.67709,             0.72389,             0.71116,             0.40935,            0.038506,             0.01508,           0.0011896,            0.007426,            0.007426,            0.007426
                 132,            0.030099,            0.026105,            0.001384,             0.72871,             0.71394,             0.74507,             0.41552,            0.039238,            0.014412,          0.00066519,           0.0074062,           0.0074062,           0.0074062
                 133,            0.029489,            0.026116,           0.0011386,             0.82239,             0.71579,             0.79183,              0.4389,            0.038624,            0.013956,          0.00058733,           0.0073864,           0.0073864,           0.0073864
                 134,            0.029242,            0.026241,           0.0010251,             0.64399,             0.77623,               0.746,             0.45448,            0.035878,            0.014256,            0.000418,           0.0073666,           0.0073666,           0.0073666
                 135,            0.029292,            0.026545,            0.001164,             0.67096,             0.70649,              0.7225,             0.44511,            0.036615,            0.014617,          0.00068614,           0.0073468,           0.0073468,           0.0073468
                 136,            0.029554,            0.026435,           0.0010992,             0.56101,             0.75535,             0.70004,             0.35453,            0.040257,            0.015119,           0.0010305,            0.007327,            0.007327,            0.007327
                 137,            0.029225,             0.02593,          0.00093599,             0.60586,              0.7273,             0.69422,             0.37899,            0.039132,            0.014837,          0.00067992,           0.0073072,           0.0073072,           0.0073072
                 138,            0.029045,            0.026329,            0.001337,             0.65987,             0.72763,             0.74074,               0.394,            0.038605,            0.015132,          0.00061176,           0.0072874,           0.0072874,           0.0072874
                 139,             0.02938,            0.026434,           0.0011826,             0.71061,             0.79132,             0.81142,             0.46948,             0.03709,            0.013587,          0.00034826,           0.0072676,           0.0072676,           0.0072676
                 140,            0.028657,            0.025612,           0.0010087,             0.72753,             0.70941,             0.75114,             0.39474,            0.037456,            0.014894,          0.00033478,           0.0072478,           0.0072478,           0.0072478
                 141,            0.028554,             0.02586,          0.00099278,             0.70396,             0.71989,             0.74892,             0.40049,             0.03874,            0.014959,          0.00046413,            0.007228,            0.007228,            0.007228
                 142,             0.02903,            0.025704,            0.001415,             0.64407,             0.77486,             0.71093,             0.37051,            0.038379,            0.014587,          0.00057893,           0.0072082,           0.0072082,           0.0072082
                 143,            0.028612,            0.026366,           0.0011292,               0.642,             0.66637,             0.71693,             0.39146,            0.037898,            0.015148,           0.0006114,           0.0071884,           0.0071884,           0.0071884
                 144,            0.028279,            0.025892,           0.0013052,             0.70935,             0.77391,             0.73254,             0.41141,            0.036998,            0.015293,          0.00037862,           0.0071686,           0.0071686,           0.0071686
                 145,            0.029222,            0.025521,           0.0011373,             0.82389,             0.67303,             0.73211,              0.4034,             0.03977,            0.014641,          0.00039225,           0.0071488,           0.0071488,           0.0071488
                 146,            0.028719,            0.025454,          0.00084774,             0.73646,             0.65779,             0.70014,             0.39664,            0.037896,            0.014591,          0.00046592,            0.007129,            0.007129,            0.007129
                 147,            0.029072,            0.026276,          0.00086367,             0.72208,             0.71061,             0.69903,             0.39799,            0.040253,            0.014826,          0.00039053,           0.0071092,           0.0071092,           0.0071092
                 148,            0.029101,            0.025224,          0.00079953,             0.60007,             0.76934,             0.71902,             0.42716,            0.037209,            0.015525,          0.00056076,           0.0070894,           0.0070894,           0.0070894
                 149,            0.028768,            0.025293,           0.0010781,             0.68922,             0.76289,             0.75368,             0.46531,            0.037675,            0.014207,          0.00072799,           0.0070696,           0.0070696,           0.0070696
                 150,            0.028629,            0.025458,          0.00088662,             0.68047,             0.77277,             0.75611,             0.44754,            0.038009,            0.014374,          0.00060725,           0.0070498,           0.0070498,           0.0070498
                 151,            0.028472,            0.025157,           0.0013794,             0.76468,             0.69957,             0.74448,             0.41089,            0.038145,            0.015934,          0.00039353,             0.00703,             0.00703,             0.00703
                 152,            0.028684,             0.02532,           0.0010975,             0.70405,             0.79981,             0.77791,             0.45184,            0.039531,              0.0153,          0.00075989,           0.0070102,           0.0070102,           0.0070102
                 153,            0.028558,            0.025287,          0.00099666,             0.69435,             0.78885,             0.72776,             0.40784,            0.039433,            0.013918,          0.00042257,           0.0069904,           0.0069904,           0.0069904
                 154,            0.028518,            0.025855,           0.0011737,             0.61671,             0.75488,             0.70308,             0.43442,            0.038551,            0.014078,          0.00053308,           0.0069706,           0.0069706,           0.0069706
